d,model,num_iters
5,simple_cgp_sam,103
5,simple_cgp_sam,59
5,simple_cgp_sam,165
5,simple_cgp_sam,133
5,simple_cgp_sam,211
5,simple_cgp_sam,219
5,simple_cgp_sam,60
5,simple_cgp_sam,284
5,simple_cgp_sam,68
5,simple_cgp_sam,342
5,simple_cgp_sam,69
5,simple_cgp_sam,74
5,simple_cgp_sam,134
5,simple_cgp_sam,143
5,simple_cgp_sam,103
5,simple_cgp_sam,106
5,simple_cgp_sam,97
5,simple_cgp_sam,238
6,simple_cgp_sam,119
6,simple_cgp_sam,440
6,simple_cgp_sam,239
6,simple_cgp_sam,94
6,simple_cgp_sam,149
6,simple_cgp_sam,90
6,simple_cgp_sam,515
6,simple_cgp_sam,278
6,simple_cgp_sam,206
6,simple_cgp_sam,67
6,simple_cgp_sam,57
6,simple_cgp_sam,260
6,simple_cgp_sam,82
6,simple_cgp_sam,96
6,simple_cgp_sam,201
6,simple_cgp_sam,137
6,simple_cgp_sam,479
6,simple_cgp_sam,91
6,simple_cgp_sam,107
6,simple_cgp_sam,321
6,simple_cgp_sam,196
6,simple_cgp_sam,289
6,simple_cgp_sam,153
6,simple_cgp_sam,711
6,simple_cgp_sam,166
6,simple_cgp_sam,221
6,simple_cgp_sam,643
6,simple_cgp_sam,367
6,simple_cgp_sam,315
6,simple_cgp_sam,390
7,simple_cgp_sam,205
7,simple_cgp_sam,1146
7,simple_cgp_sam,1611
7,simple_cgp_sam,1473
7,simple_cgp_sam,216
7,simple_cgp_sam,180
7,simple_cgp_sam,1718
7,simple_cgp_sam,909
7,simple_cgp_sam,1443
7,simple_cgp_sam,417
7,simple_cgp_sam,463
7,simple_cgp_sam,2235
7,simple_cgp_sam,965
7,simple_cgp_sam,490
7,simple_cgp_sam,1225
7,simple_cgp_sam,2247
7,simple_cgp_sam,432
7,simple_cgp_sam,278
7,simple_cgp_sam,262
7,simple_cgp_sam,659
7,simple_cgp_sam,473
7,simple_cgp_sam,103
7,simple_cgp_sam,959
7,simple_cgp_sam,2323
7,simple_cgp_sam,285
7,simple_cgp_sam,278
7,simple_cgp_sam,1370
7,simple_cgp_sam,542
7,simple_cgp_sam,201
7,simple_cgp_sam,1016
8,simple_cgp_sam,2208
8,simple_cgp_sam,1181
8,simple_cgp_sam,1772
8,simple_cgp_sam,1082
8,simple_cgp_sam,1385
8,simple_cgp_sam,1286
8,simple_cgp_sam,1498
8,simple_cgp_sam,294
8,simple_cgp_sam,915
