d,model,num_iters
17,simple_cgp_sam,22123
1,simple_cgp_sam,26
17,simple_cgp_sam,14817
1,simple_cgp_sam,4
1,simple_cgp_sam,11
18,simple_cgp_sam,28501
18,simple_cgp_sam,6399
18,simple_cgp_sam,16607
18,simple_cgp_sam,15035
18,simple_cgp_sam,7907
18,simple_cgp_sam,11618
18,simple_cgp_sam,14430
18,simple_cgp_sam,10163
18,simple_cgp_sam,13663
18,simple_cgp_sam,11285
18,simple_cgp_sam,2628
1,simple_cgp_sam,8
18,simple_cgp_sam,5443
18,simple_cgp_sam,8553
18,simple_cgp_sam,15168
18,simple_cgp_sam,4404
18,simple_cgp_sam,25810
18,simple_cgp_sam,16283
18,simple_cgp_sam,6434
18,simple_cgp_sam,9585
18,simple_cgp_sam,7044
18,simple_cgp_sam,6793
18,simple_cgp_sam,12282
1,simple_cgp_sam,0
18,simple_cgp_sam,11923
18,simple_cgp_sam,14220
18,simple_cgp_sam,7942
18,simple_cgp_sam,14161
18,simple_cgp_sam,4370
18,simple_cgp_sam,15871
18,simple_cgp_sam,13817
18,simple_cgp_sam,11419
18,simple_cgp_sam,16383
18,simple_cgp_sam,19587
18,simple_cgp_sam,14350
1,simple_cgp_sam,1
18,simple_cgp_sam,10141
18,simple_cgp_sam,29485
18,simple_cgp_sam,2197
18,simple_cgp_sam,5719
18,simple_cgp_sam,12081
18,simple_cgp_sam,19424
18,simple_cgp_sam,39917
18,simple_cgp_sam,10773
18,simple_cgp_sam,6593
18,simple_cgp_sam,7284
18,simple_cgp_sam,10379
1,simple_cgp_sam,4
18,simple_cgp_sam,27868
18,simple_cgp_sam,8864
18,simple_cgp_sam,14945
18,simple_cgp_sam,3530
18,simple_cgp_sam,6592
18,simple_cgp_sam,41348
18,simple_cgp_sam,9266
18,simple_cgp_sam,14131
18,simple_cgp_sam,5485
18,simple_cgp_sam,7852
18,simple_cgp_sam,9730
1,simple_cgp_sam,0
